        phase                /real
----------------------------------------------------------------------
                     360                       282.79177
                     370                       283.14342
                     380                       284.19279
                     390                       285.92332
                     400                       288.30837
                     410                       291.31119
                     420                        294.8864
                     430                       298.98084
                     440                       303.53337
                     450                       308.48067
                     460                       313.74936
                     470                       319.26815
                     480                       324.95808
                     490                       330.74319
                     500                       336.54608
                     510                       342.28837
                     520                        347.9047
                     530                       353.32547
                     540                       358.48742
                     550                       353.32547
                     560                        347.9047
                     570                       342.28837
                     580                       336.54608
                     590                       330.74319
                     600                       324.95808
                     610                       319.26815
                     620                       313.74936
                     630                       308.48067
                     640                       303.53337
                     650                       298.98084
                     660                        294.8864
                     670                       291.31119
                     680                       288.30837
                     690                       285.92332
                     700                       284.19279
                     710                       283.14342
                     720                       282.79177

