        phase                /real
----------------------------------------------------------------------
                      10                       195.02892
                      20                       196.24091
                      30                       198.22326
                      40                       200.92139
                      50                       204.26312
                      60                       208.16074
                      70                       212.51596
                      80                       217.22377
                      90                       222.17346
                     100                       227.25477
                     110                       232.36045
                     120                       237.38953
                     130                       242.25193
                     140                       246.87048
                     150                       251.18355
                     160                       255.14539
                     170                       258.73427
                     180                       261.92497
                     190                       258.73427
                     200                       255.14539
                     210                       251.18355
                     220                       246.87048
                     230                       242.25193
                     240                       237.38953
                     250                       232.36045
                     260                       227.25477
                     270                       222.17346
                     280                       217.22377
                     290                       212.51596
                     300                       208.16074
                     310                       204.26312
                     320                       200.92139
                     330                       198.22326
                     340                       196.24091
                     350                       195.02892
                     360                       194.62107

